Artist,Streams,Tracks,Genres
Bizarrap,50549797,"Quevedo: Bzrp Music Sessions, Vol. 52, Nicky Jam: Bzrp Music Sessions, Vol. 41, L-Gante: Bzrp Music Sessions, Vol.38, Paulo Londra: Bzrp Music Sessions, Vol. 23, Tiago PZK: Bzrp Music Sessions, Vol. 48, YaMeFui, Residente: Bzrp Music Sessions, Vol. 49, Snow Tha Product: Bzrp Music Sessions, Vol. 39, Unfollow, YSY A: Bzrp Music Sessions, Vol. 37, Anuel AA: Bzrp Music Sessions, Vol. 46, Eladio Carrion: Bzrp Music Sessions, Vol. 40, Villano Antillano: Bzrp Music Sessions, Vol. 51, Malbec, Unfollow, Nathy Peluso: Bzrp Music Sessions, Vol. 36, Ptazeta: Bzrp Music Sessions, Vol. 45, Verte, JUNGLE, Chucky73: Bzrp Music Sessions, Vol. 43, Pinta, Morad: Bzrp Music Sessions, Vol. 47, Dangerous, MHD: Bzrp Music Sessions, Vol. 44, Mamichula - con Nicki Nicole, Sin Frenos, PUFF, Verte, PUFF, KHEA: Bzrp Music Sessions, Vol. 34, Flexin', Nicki Nicole: Bzrp Music Sessions, Vol. 13, #Ysya2020 Vol. 6 - Un Flow de Infarto","argentine hip hop, pop venezolano, trap argentino, trap latino, urbano latino"
Quevedo,12927874,"Quevedo: Bzrp Music Sessions, Vol. 52, Si Quieren Frontear, Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix], Si Quieren Frontear, FERNET, Ahora y Siempre, Ahora y Siempre","rap canario, trap latino, urbano latino"
Nicky Jam,9158829,"Nicky Jam: Bzrp Music Sessions, Vol. 41, Poblado - Remix, Polvo, Poblado - Remix, Fan de Tus Fotos, Magnum, Ojos Rojos","latin hip hop, reggaeton, trap latino, urbano latino"
Paulo Londra,15009998,"Plan A, Paulo Londra: Bzrp Music Sessions, Vol. 23, Chance, Luces, Nublado, Tal Vez, Nena Maldición (feat. Lenny Tavárez), Adan y Eva, Por Eso Vine, Chica Paranormal, Nena Maldición (feat. Lenny Tavárez), Me Tiene Mal","argentine hip hop, trap argentino, trap latino, urbano latino"
TINI,28171886,"Bar, Miénteme, 2:50 Remix, La Triple T, La Loto, Fantasi, Maldita Foto, Carne y Hueso, 2:50 Remix, Tú no me conoces, High (Remix), La Niña de la Escuela, Consejo de Amor, Acércate, Playa, Tú no me conoces, Un Beso en Madrid, 22, Oye, Ella Dice","latin pop, pop argentino"
L-Gante,25885946,"Bar, L-Gante: Bzrp Music Sessions, Vol.38, L-Gante: RKT SESSIONS #1, L-Gante: RKT SESSIONS #1, Pistola Remix, Perrito Malvado, Pistola, Pa Tra Rkt - Remix, Tamo Chelo - Remix, Combi Nueva, KU', Pinta, Tinty Nasty, Malianteo 420, Titubeo, International Love 420, Regresé, Regresé, LOGI, El Mas Piola, Lassie, Remake, Malianteo 420 (Volumen 2), L-Gante RKT - Remix, Tu Reo, Clandestina 420, Uno Mas Uno - Original, HEGEMONICA, Combi Nueva, Visionario, Vino y Pomelo",cumbia 420
Rauw Alejandro,40619903,"Todo De Ti, Todo De Ti, Desesperados, Te Felicito, Cúrame, 2/Catorce, Sabe, Reloj, 2/Catorce, La Nota, Party, Baila Conmigo (with Rauw Alejandro), Baila Conmigo (with Rauw Alejandro), Nostálgico, Tiroteo - Remix, Todo De Ti, Cúrame, Problemón, Tattoo - Remix with Camilo, La Nota, De Cora <3, En Tu Cuerpo - Remix, Me Fije, Sexo Virtual, La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix, Loquita, Aloha, Enchule, 2/Catorce, MUSEO, Sabe, AGUA, Aquel Nap ZzZz, El Efecto - Remix, Loco Por Perrearte - Remix, Algo Mágico, Toda Remix - Remix, Dile a El, Suelta, UNA MÁS, Elegí (feat. Dímelo Flow), La Old Skul, Vacío, Perreo Pesau', Aquel Nap ZzZz, Mírame - Remix","puerto rican pop, reggaeton, trap latino, urbano latino"
Maria Becerra,60273198,"Miénteme, Qué Más Pues?, Además de Mí - Remix, Entre Nosotros (Remix) [con Nicki Nicole], Wow Wow (feat. Becky G), OJALÁ, Mi Debilidad, Antes de Ti, Mi Debilidad, Te Necesito, Tranquila, Marte, Mal Acostumbrao, Cazame, Qué Más Pues?, Tranquila, Animal, Acaramelao, Felices x Siempre, Maléfica, Cazame, Berlin, Confiesalo, Los Tragos, En la Oscuridad, High (Remix), En Tu Cuerpo - Remix, Acaramelao, BOBO, Te Espero, Hasta Los Dientes, Maléfica, Animal, No Eres Tu Soy Yo (feat. Danny Ocean), Episodios, A Solas, Perdidamente, Hace Rato, AYNEA REMIX, Cerquita de Ti, Hipnotiza', Suelta",pop argentino
Tiago PZK,41464786,"Entre Nosotros, Además de Mí - Remix, Entre Nosotros (Remix) [con Nicki Nicole], No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK], Salimo de Noche, Tiago PZK: Bzrp Music Sessions, Vol. 48, rápido lento, YO SE QUE TU (feat. Rusherking), Cazame, NOW, Nos Comemos (feat. Ozuna), Prende la Cámara, Loco, Cazame, Loco, Hablando De Love, Prende la Cámara RMX, Cuando Me Ves, Cerca de ti (feat. Rusherking, Bhavi, Tobi) - Remix, Házmelo, Dame Una Nite, rápido lento, Casa De Chapa, FASHION DILLER, Además de Mí, YO SE QUE TU (feat. Rusherking), Flow de Barrio, Dame","trap argentino, trap latino, urbano latino"
LIT killah,30002050,"Entre Nosotros, Además de Mí - Remix, Entre Nosotros (Remix) [con Nicki Nicole], La Trampa es Ley, YO SE QUE TU (feat. Rusherking), Mala Mía, Dejame Tranki, California, Como + Nadie, En la Oscuridad, Como + Nadie, KU', California, A tus Pies, Pa Co, Cerca de ti (feat. Rusherking, Bhavi, Tobi) - Remix, My Bag, Ese Mensaje, Dame Una Nite, Nat Geo (Remix), No Hables Mal de Mí, De Lao A Lao: Turreo Sessions #5 - Remix, Hechizame, Change, Dime, Soy Uno Más, Sé Que No Te Gusta Estar So' (freestyle), YO SE QUE TU (feat. Rusherking), El Inversor, Bipolar, Change, Flexin'","argentine hip hop, trap argentino, trap latino, trap triste, urbano latino"
Olivia Rodrigo,22421519,"good 4 u, drivers license, good 4 u, deja vu, drivers license, traitor, deja vu, brutal, favorite crime, enough for you, happier, 1 step forward, 3 steps back, jealousy, jealousy, hope ur ok, All I Want - From ""High School Musical: The Musical: The Series""",pop
MYA,9841327,"2:50 Remix, BB, 2:50 Remix, Como + Nadie, Como + Nadie, Suelta, Sola y Tranquila (feat. MYA), 2:50, Lado Triste - Remix, No Bailo Pa Ti","contemporary r&b, hip pop, r&b, urban contemporary"
Duki,70434059,"2:50 Remix, como si no importara, Además de Mí - Remix, No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK], YaMeFui, Si Quieren Frontear, WACHA, Una Vaina Loca, TOP 5, Antes de Perderte, Unfollow, Antes de Perderte, Esto Recién Empieza, Bailando Te Conocí, Malbec, INTERESTELAR, Unfollow, PANAMÁ, Mala Mía, Si Quieren Frontear, Ley de Atracción, Midtown, 2:50 Remix, YIN YAN, Perreo Bendito, París, Pintao, Chico Estrella, Chico Estrella, Celosa, Tu Nombre, Ley de Atracción, Cascada, Me Enseñaste - Remix, Esto Recién Empieza, como si no importara, Amor Bipolar, BICI, En Movimiento, She Don't Give a Fo, Volando Bajito, Pininfarina - Remix, Muriendome, Sin Frenos, Eres Para Mí, I Don't Know, Sol, Mi Diablo, Lambo - Remix, Sudor y Trabajo, Día De Pago, Cuanto, Ella Es Mi Bitch, Ticket, Luna, Rapido, Fifty Fifty, Eres Para Mí, Lo Olvidaste, Sexy (feat. KHEA & Duki), Valentino, DOLCE, Eres Para Mí, PANAMA, Midtown, Muero de Fiesta Este Finde","argentine hip hop, trap argentino, trap latino, trap triste, urbano latino"
J Balvin,20395314,"Qué Más Pues?, AM Remix, Qué Más Pues?, Poblado - Remix, Una Locura, Una Nota, Relación - Remix, Poblado - Remix, In Da Getto, De Cora <3, Sigue, In Da Getto, UN DIA (ONE DAY) (Feat. Tainy), Tu Veneno, Sal y Perrea - Remix, LOCATION, La Luz, Azul, LOCATION, LA CANCIÓN, Agua (with J Balvin), Otra Noche Sin Ti, OTRO FILI, UN DIA (ONE DAY), Agua (with J Balvin), Rojo","reggaeton, reggaeton colombiano, trap latino, urbano latino"
Emilia,19269147,"como si no importara, rápido lento, cuatro veinte, BB, Esto Recién Empieza, intoxicao, cuatro veinte, De Enero a Diciembre, Esto Recién Empieza, como si no importara, rápido lento, Perreito Salvaje, la balada, Q-Lito, mi otra mitad",pop argentino
Rusherking,22617226,"Además de Mí - Remix, Antes de Ti, YO SE QUE TU (feat. Rusherking), NOW, Bailando Te Conocí, Te Mentiría Remix, De Enero a Diciembre, BANDIDO, Loba, Confiesalo, Como + Nadie, Como + Nadie, A tus Pies, Pa Co, Cerca de ti (feat. Rusherking, Bhavi, Tobi) - Remix, Después De Ti, Además de Mí, YO SE QUE TU (feat. Rusherking), Lo Que Tienes","trap argentino, trap triste"
KHEA,15341333,"Además de Mí - Remix, WACHA, Te Necesito, Dejame Tranki, Bien Chula, Ayer Me Llamó Mi Ex – Remix, Otro, Pa Co, She Don't Give a Fo, Muriendome, Ayer Me Llamó Mi Ex (feat. Lenny Santos), Sexy (feat. KHEA & Duki), tu msj </3, FVCKBOI, KHEA: Bzrp Music Sessions, Vol. 34, Medio Crazy (with KHEA), Ella Dice","argentine hip hop, trap argentino, trap latino, trap triste, urbano latino"
Nicki Nicole,24190916,"Entre Nosotros (Remix) [con Nicki Nicole], YaMeFui, Ella No Es Tuya - Remix, intoxicao, Otra Noche, Sabe, Verte, Toa la Vida, Me Has Dejado, No Toque Mi Naik, Toa la Vida, Parte de Mí, CAMBIANDO LA PIEL, Nota, Dangerous, Mamichula - con Nicki Nicole, Baby, Pa Mis Muchachas (feat. Nathy Peluso), Venganza, Verte, Formentera, Baby, Sabe, Parte de Mí, Venganza, Pensamos, Dame, Colocao, Nicki Nicole: Bzrp Music Sessions, Vol. 13","argentine hip hop, r&b argentino, trap argentino, trap latino, urbano latino"
Jack Harlow,15385335,"First Class, First Class, INDUSTRY BABY (feat. Jack Harlow), INDUSTRY BABY (feat. Jack Harlow), Dua Lipa, Churchill Downs (feat. Drake), Nail Tech, Nail Tech, Psychic, I'd Do Anything To Make You Smile, Side Piece, Young Harleezy, WHATS POPPIN, Movie Star (feat. Pharrell Williams), Killer (feat. Jack Harlow & Cordae) - Remix, Tyler Herro, Like A Blade Of Grass, Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track, Talk Of The Town, Way Out (feat. Big Sean), I WANNA SEE SOME ASS (feat. jetsonmade), Already Best Friends (feat. Chris Brown), I Got A Shot, Lil Secret, Parent Trap (feat. Justin Timberlake), Poison (feat. Lil Wayne)","deep underground hip hop, kentucky hip hop, pop rap, rap"
BANDIDO,3753870,"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK], Sembrando el Terror - Remix",concurso de talentos argentino
Rei,8650318,"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK], Tu Turrito, Pintao, Teca (Remix) [feat. Neo Pistea, Midel, Rei & Zecca], FERNET, Pininfarina - Remix, REI | Mission 01, Superclásico","latin arena pop, latin pop, mexican pop, reggaeton"
Trueno,16043324,"Salimo de Noche, DANCE CRIP, FEEL ME??, PANAMÁ, SOLO POR VOS, JUNGLE, ARGENTINA, TIERRA ZANTA, DANCE CRIP, Dangerous, Mamichula - con Nicki Nicole, FEEL ME??, Ñeri, FUCK EL POLICE, SOLO POR VOS, BUENOS AIRES EN LLAMAS, HOOP HOOP, PANAMA, BIEN O MAL, HOOD","argentine hip hop, bases de freestyle, trap argentino, trap latino, urbano latino"
Kaleb Di Masi,20093261,"Turraka - Remix, Hace Calor, KALEB DI MASI | DJ TAO Turreo Sessions #5, Turraka - Remix, Matatan, Matatan, KALEB DI MASI | DJ TAO Turreo Sessions #5, Que a Pasao - Remix, Pa Tra Rkt - Remix, Tamo Chelo - Remix, Matatan - Remix, P rreo, Al Gendarme, Turraka - Remix, Hace Calor, Pal Cache, Red Bull Red Label, Turraka - Remix, EIA, De Lao A Lao: Turreo Sessions #5 - Remix, Turraka - Remix, Funky De Antes (feat. Ecko, Marcianeke & DJ Tao) - Remix, PÉGATE","cumbia 420, rkt"
Ecko,7620323,"Turraka - Remix, Pa Tra Rkt - Remix, Combi Nueva, Matatan - Remix, Turraka - Remix, Sembrando el Terror - Remix, ECKO | DJ TAO TURREO session #1, Turraka - Remix, Funky De Antes (feat. Ecko, Marcianeke & DJ Tao) - Remix, PÉGATE, Combi Nueva","argentine hip hop, trap argentino"
Papichamp,6084908,"Turraka - Remix, Pa Tra Rkt - Remix, Combi Nueva, Turraka - Remix, Remake, Turraka - Remix, Combi Nueva",cumbia pop
Blunted Vato,6505434,"Turraka - Remix, BLUNTED 5 - Remix, Combi Nueva, Turraka - Remix, BLUNTED 5 - Remix, Turraka - Remix, Combi Nueva","argentine hip hop, cumbia 420, trap argentino"
Bruno LC,5515196,"Turraka - Remix, BLUNTED 5 - Remix, Turraka - Remix, BLUNTED 5 - Remix, Turraka - Remix","cumbia 420, rkt"
